Sticker_No,Core_No,Plot,Treatment,fires_since_1986,TSF,Total_carbon,Total_nitrogen,Standard,TreeOpen,CoreDepth,SoilDepth,TopsoilDepth,SoilColour,Weight (g),RatioC:N,Sticker_No,Core_No,Plot,Total_carbon,Total_nitrogen,Bulk_Den_g/cm3
140,67,72,UR,1,4,4.65,2.18,,Open,16,13,7,Yellow,59.43,2.133027523,140,67,72,4.65,2.18,1.100314471
141,112,32,LR,3,4,2.88,0.06,,Tree,20,12,4,Yellow,58.8,48,141,112,32,2.88,0.06,1.179371223
142,64,70,UR,4,4,3.45,0.03,,Tree,20,15.9,7,Yellow,79.05,115,142,64,70,3.45,0.03,1.196628099
143,66,70,UR,4,4,4.24,0.05,,Tree,13,12.8,3,Yellow,58.28,84.8,143,66,70,4.24,0.05,1.095882571
144,70,72,UR,1,4,7.65,0.08,,Tree,20,9,4,Yellow,37.44,95.625,144,70,72,7.65,0.08,1.001262099
145,114,32,LR,3,4,4.96,0.03,,Tree,20,14.4,4,Yellow,76.7,165.3333333,145,114,32,4.96,0.03,1.281997914
146,58,71,UR,3,4,4.47,0.12,,Tree,20,15.2,7,Grey,67.17,37.25,146,58,71,4.47,0.12,1.063619294
147,38,69,UR,3,4,1.52,0.04,,Open,20,17.7,6,Grey,107.5,38,147,38,69,1.52,0.04,1.461805678
148,67,72,UR,1,4,4.66,0.07,,Open,16,13,7,Yellow,59.43,66.57142857,148,67,72,4.66,0.07,1.100314471
149,6131,,#N/A,#N/A,#N/A,0.75,0.00144,1% char 1.5% kaolin,N/A,,,,,,520.8333333,149,6131,,0.75,0.00144,#DIV/0!
150,87,9,LF,5,4,1.55,0.03,,Open,20,17.8,2,Yellow-Grey,102.18,51.66666667,150,87,9,1.55,0.03,1.381657321
151,65,70,UR,4,4,3.27,0.03,,Tree,15,14.3,1,Yellow,73.95,109,151,65,70,3.27,0.03,1.244676779
152,97,35,LR,3,4,2.2,0.04,,Open,20,16.8,6,Yellow-Grey,91.55,55,152,97,35,2.2,0.04,1.311606359
153,57,71,UR,3,4,2.08,0.05,,Open,20,15,4,Yellow,81.14,41.6,153,57,71,2.08,0.05,1.301961647
154,103,36,LR,1,4,1.77,0.05,,Open,20,14.5,7,Yellow,80.22,35.4,154,103,36,1.77,0.05,1.331585637
155,103,36,LR,1,4,1.79,0.05,,Open,20,14.5,7,Yellow,80.22,35.8,155,103,36,1.79,0.05,1.331585637
156,13,106,UF,3,4,3.58,0.05,,Open,19,15.5,3,Yellow,73.13,71.6,156,13,106,3.58,0.05,1.135581534
157,117,31,LR,3,4,2.8,0.05,,Open,20,14,4,Yellow,69.86,56,157,117,31,2.8,0.05,1.201033143
158,100,35,LR,3,4,1.83,0.03,,Tree,16,16,5,Yellow,94.63,61,158,100,35,1.83,0.03,1.423519118
159,38,69,UR,3,4,1.52,0.04,,Open,20,17.7,6,Grey,107.5,38,159,38,69,1.52,0.04,1.461805678
160,27,108,UF,3,6,2.12,0.03,,Open,20,15.5,7,Yellow,78.32,70.66666667,160,27,108,2.12,0.03,1.216173195
161,6130,,#N/A,#N/A,#N/A,0,0,12.5% kaolin,N/A,,,,,,#DIV/0!,161,6130,,0,0,#DIV/0!
162,70,72,UR,1,4,7.67,0.07,,Tree,20,9,4,Yellow,37.44,109.5714286,162,70,72,7.67,0.07,1.001262099
163,13,106,UF,3,4,3.58,0.05,,Open,19,15.5,3,Yellow,73.13,71.6,163,13,106,3.58,0.05,1.135581534
164,110,32,LR,3,4,1.45,0.02,,Open,20,18,4,Yellow,101.64,72.5,164,110,32,1.45,0.02,1.359084933
165,27,108,UF,3,6,2.11,0.03,,Open,20,15.5,7,Yellow,78.32,70.33333333,165,27,108,2.11,0.03,1.216173195
166,52,68,UR,1,4,4.91,0.04,,Tree,17.5,14.5,2,Yellow-Grey,66.32,122.75,166,52,68,4.91,0.04,1.100857136
167,99,35,LR,3,4,5.59,0.09,,Open,11,9.5,9,Grey,39.25,62.11111111,167,99,35,5.59,0.09,0.994421493
168,51,68,UR,1,4,2.82,0.05,,Open,17.5,17,17,Grey,83.01,56.4,168,51,68,2.82,0.05,1.175265369
169,78,7,LF,6,4,2.79,0.04,,Tree,20,17.8,7,Yellow,89.92,69.75,169,78,7,2.79,0.04,1.215880078
170,58,71,UR,3,4,4.49,0.11,,Tree,20,15.2,7,Grey,67.17,40.81818182,170,58,71,4.49,0.11,1.063619294
171,12,105,UF,5,4,7.11,0.11,,Tree,19,14.4,5,Grey,61.74,64.63636364,171,12,105,7.11,0.11,1.03194982
172,27,108,UF,3,6,2.13,0.03,,Open,20,15.5,7,Yellow,78.32,71,172,27,108,2.13,0.03,1.216173195
173,61,70,UR,4,4,1.36,0.03,,Open,16,16,1,Yellow,100.75,45.33333333,173,61,70,1.36,0.03,1.515582279
174,67,72,UR,1,4,4.65,0.07,,Open,16,13,7,Yellow,59.43,66.42857143,174,67,72,4.65,0.07,1.100314471
175,9,105,UF,5,4,3.29,0.07,,Open,18.5,14,3.5,Yellow,59.03,47,175,9,105,3.29,0.07,1.01484378
176,87,9,LF,5,4,1.56,0.03,,Open,20,17.8,2,Yellow-Grey,102.18,52,176,87,9,1.56,0.03,1.381657321
177,109,32,LR,3,4,2.21,0.03,,Open,20,18,3,Yellow,80.04,73.66666667,177,109,32,2.21,0.03,1.070259327
178,6,104,UF,4,6,1.96,0.03,,Tree,18.5,17.2,3,Yellow,95.28,65.33333333,178,6,104,1.96,0.03,1.333299598
179,12,105,UF,5,4,7.14,0.11,,Tree,19,14.4,5,Grey,61.74,64.90909091,179,12,105,7.14,0.11,1.03194982
180,51,68,UR,1,4,2.81,0.05,,Open,17.5,17,17,Grey,83.01,56.2,180,51,68,2.81,0.05,1.175265369
181,100,35,LR,3,4,1.89,0.03,,Tree,16,16,5,Yellow,94.63,63,181,100,35,1.89,0.03,1.423519118
182,64,70,UR,4,4,3.56,0.03,,Tree,20,15.9,7,Yellow,79.05,118.6666667,182,64,70,3.56,0.03,1.196628099
183,57,71,UR,3,4,2.14,0.05,,Open,20,15,4,Yellow,81.14,42.8,183,57,71,2.14,0.05,1.301961647
184,48,67,UR,3,4,3.78,0.03,,Tree,20,15,7,Yellow,67.98,126,184,48,67,3.78,0.03,1.090798037
185,65,70,UR,4,4,3.38,0.04,,Tree,15,14.3,1,Yellow,73.95,84.5,185,65,70,3.38,0.04,1.244676779
186,99,35,LR,3,4,5.73,0.14,,Open,11,9.5,9,Grey,39.25,40.92857143,186,99,35,5.73,0.14,0.994421493
187,9,105,UF,5,4,3.34,0.09,,Open,18.5,14,3.5,Yellow,59.03,37.11111111,187,9,105,3.34,0.09,1.01484378
188,97,35,LR,3,4,2.25,0.05,,Open,20,16.8,6,Yellow-Grey,91.55,45,188,97,35,2.25,0.05,1.311606359
189,32,107,UF,4,4,2.32,0.05,,Open,20,18.8,7,Yellow-Grey,98.34,46.4,189,32,107,2.32,0.05,1.259003105
190,51,68,UR,1,4,2.86,0.05,,Open,17.5,17,17,Grey,83.01,57.2,190,51,68,2.86,0.05,1.175265369
191,114,32,LR,3,4,5.1,0.03,,Tree,20,14.4,4,Yellow,76.7,170,191,114,32,5.1,0.03,1.281997914
192,112,32,LR,3,4,2.91,0.06,,Tree,20,12,4,Yellow,58.8,48.5,192,112,32,2.91,0.06,1.179371223
193,109,32,LR,3,4,2.25,0.03,,Open,20,18,3,Yellow,80.04,75,193,109,32,2.25,0.03,1.070259327
194,64,70,UR,4,4,3.54,0.03,,Tree,20,15.9,7,Yellow,79.05,118,194,64,70,3.54,0.03,1.196628099
195,66,70,UR,4,4,4.36,0.06,,Tree,13,12.8,3,Yellow,58.28,72.66666667,195,66,70,4.36,0.06,1.095882571
196,97,35,LR,3,4,2.26,0.05,,Open,20,16.8,6,Yellow-Grey,91.55,45.2,196,97,35,2.26,0.05,1.311606359
197,70,72,UR,1,4,7.87,0.08,,Tree,20,9,4,Yellow,37.44,98.375,197,70,72,7.87,0.08,1.001262099
198,57,71,UR,3,4,2.12,0.05,,Open,20,15,4,Yellow,81.14,42.4,198,57,71,2.12,0.05,1.301961647
199,109,32,LR,3,4,2.22,0.03,,Open,20,18,3,Yellow,80.04,74,199,109,32,2.22,0.03,1.070259327
200,78,7,LF,6,4,2.82,0.05,,Tree,20,17.8,7,Yellow,89.92,56.4,200,78,7,2.82,0.05,1.215880078
