Sticker_No,Core_No,Plot,Treatment,fires_since_1986,TSF,Total_carbon,Total_nitrogen,Standard,TreeOpen,CoreDepth,SoilDepth,TopsoilDepth,SoilColour,Weight (g),RatioC:N,Sticker_No,Core_No,Plot,Total_carbon,Total_nitrogen,Bulk_Den_g/cm3
1412,5012,27,UF,5,4,2.45,0.03,,Tree,20,17.2,10,Yellow,91.7,81.66666667,1412,5012,27,2.45,0.03,1.283202909
1413,5072,22,LR,1,4,1.5,0.04,,Tree,20,15.7,3,Yellow,89.3,37.5,1413,5072,22,1.5,0.04,1.369008842
1414,5062,54,UR,0,40,6.61,0.14,,Open,20,16.7,10,Grey,60.57,47.21428571,1414,5062,54,6.61,0.14,0.872962422
1415,5033,30,UF,1,4,3.54,0.08,,Open,20,17.8,6,Yellow,91.66,44.25,1415,5033,30,3.54,0.08,1.239408006
1416,31,107,UF,4,4,2.94,0.09,,Open,20,18.5,5,Yellow-Grey,93.86,32.66666667,1416,31,107,2.94,0.09,1.221133844
1417,6047,81,UN,0,40,2.29,0.05,,Tree,20,18.5,7,Yellow-Grey,98.41,45.8,1417,6047,81,2.29,0.05,1.280330083
1418,6057,59,LR,3,4,3.31,0.05,,Open,20,13.4,3,Yellow,64.87,66.2,1418,6057,59,3.31,0.05,1.165181408
1419,5011,27,UF,5,4,3.25,0.04,,Tree,20,11,3,Yellow,57.1,81.25,1419,5011,27,3.25,0.04,1.249389552
1420,5004,26,UF,4,4,4.03,0.06,,Tree,20,18,7,Yellow-Grey,91.69,67.16666667,1420,5004,26,4.03,0.06,1.226037953
1421,5022,29,UF,2,4,2.93,0.07,,Tree,16.5,15.8,5,Yellow,85.18,41.85714286,1421,5022,29,2.93,0.07,1.297582547
1422,5060,24,LR,2,4,3.39,0.11,,Tree,20,15.1,7,Grey,73.43,30.81818182,1422,5060,24,3.39,0.11,1.170445045
1423,5069,22,LR,1,4,1.56,0.04,,Open,20,16.8,4,Yellow-Grey,103.41,39,1423,5069,22,1.56,0.04,1.481520629
1424,5050,21,LR,4,4,1.89,0.03,,Open,20,15.8,2,Yellow,89.28,63,1424,5050,21,1.89,0.03,1.360039561
1425,5072A,53,UR,1,4,2.05,0.05,,Tree,20,17.6,5,Yellow,92.43,41,1425,5072A,53,2.05,0.05,1.264022288
1426,5067A,53,UR,1,4,3.22,0.07,,Open,20,14,2,Yellow,66.81,46,1426,5067A,53,3.22,0.07,1.148597542
1427,5059,24,LR,2,4,2.29,0.07,,Tree,20,14.8,7,Grey,96.08,32.71428571,1427,5059,24,2.29,0.07,1.562520506
1428,6016,95,LN,0,40,3.04,0.05,,Tree,20,18.5,4,Grey,96.37,60.8,1428,6016,95,3.04,0.05,1.253789352
1429,5008,27,UF,5,4,1.24,0.01,,Open,20,18.4,5,Yellow,109.9,124,1429,5008,27,1.24,0.01,1.437587593
1430,5059,24,LR,2,4,2.27,0.07,,Tree,20,14.8,7,Grey,96.08,32.42857143,1430,5059,24,2.27,0.07,1.562520506
1431,5040,19,LR,4,4,1.8,0.03,,Tree,20,17.9,3,Yellow,106.14,60,1431,5040,19,1.8,0.03,1.427185744
1432,5071A,53,UR,1,4,4.56,0.07,,Tree,20,14.5,8,Yellow,69.25,65.14285714,1432,5071A,53,4.56,0.07,1.149492712
1433,6047,81,UN,0,40,2.32,0.05,,Tree,20,18.5,7,Yellow-Grey,98.41,46.4,1433,6047,81,2.32,0.05,1.280330083
1434,5007,27,UF,5,4,0.93,0.02,,Open,20,17.9,0,Yellow,113.12,46.5,1434,5007,27,0.93,0.02,1.521040619
1435,5053,21,LR,4,4,2.22,0.03,,Tree,20,17.2,4,Yellow,94.72,74,1435,5053,21,2.22,0.03,1.325463244
1436,5060,24,LR,2,4,3.38,0.11,,Tree,20,15.1,7,Grey,73.43,30.72727273,1436,5060,24,3.38,0.11,1.170445045
1437,6132,,#N/A,#N/A,#N/A,4.1,0.00901,5% char 1.5% kaolin,N/A,,,,,,455.0499445,1437,6132,,4.1,0.00901,#DIV/0!
1438,5054,21,LR,4,4,2.63,0.04,,Tree,20,14.1,4,Yellow,76.64,65.75,1438,5054,21,2.63,0.04,1.308250261
1439,5008,27,UF,5,4,1.24,0.01,,Open,20,18.4,5,Yellow,109.9,124,1439,5008,27,1.24,0.01,1.437587593
1440,5048,23,LR,1,4,1.79,0.05,,Tree,20,18.4,6,Yellow,103.31,35.8,1440,5048,23,1.79,0.05,1.351384661
1441,5067,22,LR,1,4,3.04,0.07,,Open,20,16.8,6,Grey,91.57,43.42857143,1441,5067,22,3.04,0.07,1.311892892
1442,5040,19,LR,4,4,1.75,0.03,,Tree,20,17.9,3,Yellow,106.14,58.33333333,1442,5040,19,1.75,0.03,1.427185744
1443,6015,95,LN,0,40,4.55,0.1,,Open,20,18,9,Grey,87.89,45.5,1443,6015,95,4.55,0.1,1.175226041
1444,5012,27,UF,5,4,2.43,0.03,,Tree,20,17.2,10,Yellow,91.7,81,1444,5012,27,2.43,0.03,1.283202909
1445,5062,54,UR,0,40,6.63,0.14,,Open,20,16.7,10,Grey,60.57,47.35714286,1445,5062,54,6.63,0.14,0.872962422
1446,6057,59,LR,3,4,3.34,0.04,,Open,20,13.4,3,Yellow,64.87,83.5,1446,6057,59,3.34,0.04,1.165181408
1447,5004,26,UF,4,4,4.03,0.06,,Tree,20,18,7,Yellow-Grey,91.69,67.16666667,1447,5004,26,4.03,0.06,1.226037953
1448,6016,95,LN,0,40,3.06,0.05,,Tree,20,18.5,4,Grey,96.37,61.2,1448,6016,95,3.06,0.05,1.253789352
1449,5069,22,LR,1,4,1.53,0.04,,Open,20,16.8,4,Yellow-Grey,103.41,38.25,1449,5069,22,1.53,0.04,1.481520629
1450,3075,38,UF,3,4,1.94,0.03,,Open,20,15.7,7,Yellow,90.5,64.66666667,1450,3075,38,1.94,0.03,1.387405377
1451,5071A,53,UR,1,4,4.55,0.07,,Tree,20,14.5,8,Yellow,69.25,65,1451,5071A,53,4.55,0.07,1.149492712
1452,5067,22,LR,1,4,3.04,0.07,,Open,20,16.8,6,Grey,91.57,43.42857143,1452,5067,22,3.04,0.07,1.311892892
1453,6015,95,LN,0,40,4.56,0.1,,Open,20,18,9,Grey,87.89,45.6,1453,6015,95,4.56,0.1,1.175226041
1454,5018,28,UF,4,4,1.43,0.01,,Tree,20,15.8,1,Yellow,93.25,143,1454,5018,28,1.43,0.01,1.42051623
1455,6026,79,UN,0,40,2.86,0.06,,Open,20,17.2,8,Grey,91.54,47.66666667,1455,6026,79,2.86,0.06,1.28096395
1456,5068,22,LR,1,4,5.29,0.1,,Open,20,16,4,Yellow,76.03,52.9,1456,5068,22,5.29,0.1,1.143719312
1457,5054,21,LR,4,4,2.63,0.04,,Tree,20,14.1,4,Yellow,76.64,65.75,1457,5054,21,2.63,0.04,1.308250261
1458,5059,24,LR,2,4,2.28,0.07,,Tree,20,14.8,7,Grey,96.08,32.57142857,1458,5059,24,2.28,0.07,1.562520506
1459,5007,27,UF,5,4,0.91,0.01,,Open,20,17.9,0,Yellow,113.12,91,1459,5007,27,0.91,0.01,1.521040619
1460,5067A,53,UR,1,4,3.22,0.07,,Open,20,14,2,Yellow,66.81,46,1460,5067A,53,3.22,0.07,1.148597542
1461,5018,28,UF,4,4,1.43,0.01,,Tree,20,15.8,1,Yellow,93.25,143,1461,5018,28,1.43,0.01,1.42051623
1462,5002,26,UF,4,4,3.42,0.06,,Open,20,17.4,7,Yellow,84.9,57,1462,5002,26,3.42,0.06,1.174391471
1463,5033,30,UF,1,4,3.55,0.08,,Open,20,17.8,6,Yellow,91.66,44.375,1463,5033,30,3.55,0.08,1.239408006
1464,5061,54,UR,0,40,4.56,0.11,,Open,18,14.8,8,Grey,68.66,41.45454545,1464,5061,54,4.56,0.11,1.116597189
1465,6131,,#N/A,#N/A,#N/A,0.79,0.00434,1% char 1.5% kaolin,N/A,,,,,,182.0276498,1465,6131,,0.79,0.00434,#DIV/0!
1466,6057,59,LR,3,4,3.34,0.04,,Open,20,13.4,3,Yellow,64.87,83.5,1466,6057,59,3.34,0.04,1.165181408
1467,5050,21,LR,4,4,1.89,0.03,,Open,20,15.8,2,Yellow,89.28,63,1467,5050,21,1.89,0.03,1.360039561
1468,5017,28,UF,4,4,2.05,0.05,,Tree,20,17.3,7,Yellow,91.93,41,1468,5017,28,2.05,0.05,1.278985449
1469,5072,22,LR,1,4,1.5,0.04,,Tree,20,15.7,3,Yellow,89.3,37.5,1469,5072,22,1.5,0.04,1.369008842
1470,5017,28,UF,4,4,2.05,0.05,,Tree,20,17.3,7,Yellow,91.93,41,1470,5017,28,2.05,0.05,1.278985449
1471,6016,95,LN,0,40,3.03,0.05,,Tree,20,18.5,4,Grey,96.37,60.6,1471,6016,95,3.03,0.05,1.253789352
1472,5033,30,UF,1,4,3.55,0.08,,Open,20,17.8,6,Yellow,91.66,44.375,1472,5033,30,3.55,0.08,1.239408006
1473,5011,27,UF,5,4,3.26,0.03,,Tree,20,11,3,Yellow,57.1,108.6666667,1473,5011,27,3.26,0.03,1.249389552
1474,5022,29,UF,2,4,2.93,0.07,,Tree,16.5,15.8,5,Yellow,85.18,41.85714286,1474,5022,29,2.93,0.07,1.297582547
1475,5002,26,UF,4,4,3.44,0.06,,Open,20,17.4,7,Yellow,84.9,57.33333333,1475,5002,26,3.44,0.06,1.174391471
1476,5002,26,UF,4,4,3.43,0.06,,Open,20,17.4,7,Yellow,84.9,57.16666667,1476,5002,26,3.43,0.06,1.174391471
1477,5072A,53,UR,1,4,2.04,0.05,,Tree,20,17.6,5,Yellow,92.43,40.8,1477,5072A,53,2.04,0.05,1.264022288
1478,5060,24,LR,2,4,3.39,0.11,,Tree,20,15.1,7,Grey,73.43,30.81818182,1478,5060,24,3.39,0.11,1.170445045
1479,5004,26,UF,4,4,4.05,0.06,,Tree,20,18,7,Yellow-Grey,91.69,67.5,1479,5004,26,4.05,0.06,1.226037953
1480,5033,30,UF,1,4,3.55,0.08,,Open,20,17.8,6,Yellow,91.66,44.375,1480,5033,30,3.55,0.08,1.239408006
1481,6015,95,LN,0,40,4.56,0.1,,Open,20,18,9,Grey,87.89,45.6,1481,6015,95,4.56,0.1,1.175226041
1482,5048,23,LR,1,4,1.78,0.05,,Tree,20,18.4,6,Yellow,103.31,35.6,1482,5048,23,1.78,0.05,1.351384661
1483,5062,54,UR,0,40,6.63,0.14,,Open,20,16.7,10,Grey,60.57,47.35714286,1483,5062,54,6.63,0.14,0.872962422
1484,5069,22,LR,1,4,1.55,0.04,,Open,20,16.8,4,Yellow-Grey,103.41,38.75,1484,5069,22,1.55,0.04,1.481520629
1485,5071A,53,UR,1,4,4.56,0.07,,Tree,20,14.5,8,Yellow,69.25,65.14285714,1485,5071A,53,4.56,0.07,1.149492712
1486,5011,27,UF,5,4,3.25,0.04,,Tree,20,11,3,Yellow,57.1,81.25,1486,5011,27,3.25,0.04,1.249389552
1487,6026,79,UN,0,40,2.83,0.06,,Open,20,17.2,8,Grey,91.54,47.16666667,1487,6026,79,2.83,0.06,1.28096395
1488,6130,,#N/A,#N/A,#N/A,0,0.0036,12.5% kaolin,N/A,,,,,,0,1488,6130,,0,0.0036,#DIV/0!
1489,5067,22,LR,1,4,3.04,0.07,,Open,20,16.8,6,Grey,91.57,43.42857143,1489,5067,22,3.04,0.07,1.311892892
1490,5022,29,UF,2,4,2.92,0.07,,Tree,16.5,15.8,5,Yellow,85.18,41.71428571,1490,5022,29,2.92,0.07,1.297582547
1491,5061,54,UR,0,40,4.54,0.11,,Open,18,14.8,8,Grey,68.66,41.27272727,1491,5061,54,4.54,0.11,1.116597189
1492,5072,22,LR,1,4,1.52,0.04,,Tree,20,15.7,3,Yellow,89.3,38,1492,5072,22,1.52,0.04,1.369008842
1493,5012,27,UF,5,4,2.42,0.03,,Tree,20,17.2,10,Yellow,91.7,80.66666667,1493,5012,27,2.42,0.03,1.283202909
1494,5008,27,UF,5,4,1.27,0.01,,Open,20,18.4,5,Yellow,109.9,127,1494,5008,27,1.27,0.01,1.437587593
1495,5072A,53,UR,1,4,2.02,0.05,,Tree,20,17.6,5,Yellow,92.43,40.4,1495,5072A,53,2.02,0.05,1.264022288
1496,5068,22,LR,1,4,5.27,0.1,,Open,20,16,4,Yellow,76.03,52.7,1496,5068,22,5.27,0.1,1.143719312
1497,6047,81,UN,0,40,2.31,0.05,,Tree,20,18.5,7,Yellow-Grey,98.41,46.2,1497,6047,81,2.31,0.05,1.280330083
1498,5053,21,LR,4,4,2.24,0.03,,Tree,20,17.2,4,Yellow,94.72,74.66666667,1498,5053,21,2.24,0.03,1.325463244
1499,5050,21,LR,4,4,1.89,0.03,,Open,20,15.8,2,Yellow,89.28,63,1499,5050,21,1.89,0.03,1.360039561
1500,5040,19,LR,4,4,1.79,0.03,,Tree,20,17.9,3,Yellow,106.14,59.66666667,1500,5040,19,1.79,0.03,1.427185744
1501,6027,79,UN,0,40,3.19,0.06,,Open,20,17.1,11,Grey,87.02,53.16666667,1501,6027,79,3.19,0.06,1.224834513
1502,6020,96,LN,0,40,2.31,0.05,,Open,20,17.9,4,Yellow,91.78,46.2,1502,6020,96,2.31,0.05,1.23409749
1503,6021,96,LN,0,40,2.93,0.06,,Open,20,14,3,Yellow,73.44,48.83333333,1503,6021,96,2.93,0.06,1.262580505
1504,6024,96,LN,0,40,4.53,0.08,,Tree,20,15.8,5,Yellow,74.56,56.625,1504,6024,96,4.53,0.08,1.135803647
1505,6001,92,LN,0,40,2.51,0.04,,Open,20,17,4,Yellow,84.49,62.75,1505,6001,92,2.51,0.04,1.196219383
1506,6033,80,UN,0,40,4.01,0.06,,Open,20,14.8,4,Grey,73.58,66.83333333,1506,6033,80,4.01,0.06,1.196609688
1507,6054,55,LR,1,25,3.24,0.05,,Tree,20,15.8,4,Grey,79.17,64.8,1507,6054,55,3.24,0.05,1.206029704
1508,6014,95,LN,0,40,2.24,0.05,,Open,20,17.3,4,Grey,89.25,44.8,1508,6014,95,2.24,0.05,1.241699677
1509,6019,96,LN,0,40,3.29,0.06,,Open,20,17.6,5,Yellow,86.13,54.83333333,1509,6019,96,3.29,0.06,1.177866923
1510,6031,80,UN,0,40,3.18,0.07,,Open,20,14.4,7,Grey,81.24,45.42857143,1510,6031,80,3.18,0.07,1.357881493
1511,5058,24,LR,2,4,2.31,0.07,,Tree,20,17.8,7,Yellow,88.31,33,1511,5058,24,2.31,0.07,1.194109983
1512,6006,92,LN,0,40,2.21,0.04,,Tree,20,15,3,Yellow,82.1,55.25,1512,6006,92,2.21,0.04,1.317365679
1513,6050,55,LR,1,25,3.29,0.07,,Open,20,15,6,Grey,85.2,47,1513,6050,55,3.29,0.07,1.367107867
1514,6033,80,UN,0,40,4.01,0.06,,Open,20,14.8,4,Grey,73.58,66.83333333,1514,6033,80,4.01,0.06,1.196609688
1515,6023,96,LN,0,40,4.52,0.09,,Tree,20,12,2,Yellow,56.33,50.22222222,1515,6023,96,4.52,0.09,1.129829609
1516,6100,83,UN,0,40,3.2,0.06,,Tree,20,16,5,Yellow,71.25,53.33333333,1516,6100,83,3.2,0.06,1.071813771
1517,6002,92,LN,0,40,7.04,0.06,,Open,20,11.9,7,Yellow,48.79,117.3333333,1517,6002,92,7.04,0.06,0.986820819
1518,6036,80,UN,0,40,3.89,0.09,,Tree,20,16.8,8,Grey,82.23,43.22222222,1518,6036,80,3.89,0.09,1.178081823
1519,6017,95,LN,0,40,2.62,0.07,,Tree,20,18.1,10,Grey,83.34,37.42857143,1519,6017,95,2.62,0.07,1.108228636
1520,6048,81,UN,0,40,3.41,0.07,,Tree,20,17,8,Yellow-Grey,75.99,48.71428571,1520,6048,81,3.41,0.07,1.075875381
1521,6028,79,UN,0,40,12.33,0.17,,Tree,20,15.8,10,Grey,52.28,72.52941176,1521,6028,79,12.33,0.17,0.796403094
1522,6043,81,UN,0,40,1.92,0.05,,Open,20,16.7,7,Yellow,93.28,38.4,1522,6043,81,1.92,0.05,1.344393837
1523,6025,79,UN,0,40,4.44,0.05,,Open,20,18.1,5,Grey,92.13,88.8,1523,6025,79,4.44,0.05,1.225115241
1524,6025,79,UN,0,40,4.4,0.05,,Open,20,18.1,5,Grey,92.13,88,1524,6025,79,4.4,0.05,1.225115241
1525,6130,,#N/A,#N/A,#N/A,0,0.00609,12.5% kaolin,N/A,,,,,,0,1525,6130,,0,0.00609,#DIV/0!
1526,6022,96,LN,0,40,5.08,0.08,,Tree,20,15.1,11,Yellow,62.99,63.5,1526,6022,96,5.08,0.08,1.00403559
1527,6020,96,LN,0,40,2.31,0.04,,Open,20,17.9,4,Yellow,91.78,57.75,1527,6020,96,2.31,0.04,1.23409749
1528,6032,80,UN,0,40,2.78,0.06,,Open,20,17.2,10,Grey,89.39,46.33333333,1528,6032,80,2.78,0.06,1.25087795
1529,6005,92,LN,0,40,2.24,0.04,,Tree,20,16.9,4,Yellow-Grey,90.9,56,1529,6005,92,2.24,0.04,1.294588143
1530,6010,93,LN,0,40,8.98,0.13,,Tree,17,14.7,7,Yellow-Grey,43.34,69.07692308,1530,6010,93,8.98,0.13,0.70962028
1531,6031,80,UN,0,40,3.19,0.07,,Open,20,14.4,7,Grey,81.24,45.57142857,1531,6031,80,3.19,0.07,1.357881493
1532,6027,79,UN,0,40,3.21,0.05,,Open,20,17.1,11,Grey,87.02,64.2,1532,6027,79,3.21,0.05,1.224834513
1533,6028,79,UN,0,40,12.31,0.17,,Tree,20,15.8,10,Grey,52.28,72.41176471,1533,6028,79,12.31,0.17,0.796403094
1534,6043,81,UN,0,40,1.92,0.05,,Open,20,16.7,7,Yellow,93.28,38.4,1534,6043,81,1.92,0.05,1.344393837
1535,6032,80,UN,0,40,2.83,0.06,,Open,20,17.2,10,Grey,89.39,47.16666667,1535,6032,80,2.83,0.06,1.25087795
1536,6027,79,UN,0,40,3.23,0.05,,Open,20,17.1,11,Grey,87.02,64.6,1536,6027,79,3.23,0.05,1.224834513
1537,6122,85,UN,1,4,1.7,0.02,,Open,20,16,7,Yellow,84.19,85,1537,6122,85,1.7,0.02,1.266470195
1538,6024,96,LN,0,40,4.55,0.08,,Tree,20,15.8,5,Yellow,74.56,56.875,1538,6024,96,4.55,0.08,1.135803647
1539,6028,79,UN,0,40,12.29,0.17,,Tree,20,15.8,10,Grey,52.28,72.29411765,1539,6028,79,12.29,0.17,0.796403094
1540,6014,95,LN,0,40,2.23,0.04,,Open,20,17.3,4,Grey,89.25,55.75,1540,6014,95,2.23,0.04,1.241699677
1541,6036,80,UN,0,40,3.9,0.09,,Tree,20,16.8,8,Grey,82.23,43.33333333,1541,6036,80,3.9,0.09,1.178081823
1542,6021,96,LN,0,40,3.2,0.05,,Open,20,14,3,Yellow,73.44,64,1542,6021,96,3.2,0.05,1.262580505
1543,6054,55,LR,1,25,3.3,0.05,,Tree,20,15.8,4,Grey,79.17,66,1543,6054,55,3.3,0.05,1.206029704
1544,6022,96,LN,0,40,5.16,0.07,,Tree,20,15.1,11,Yellow,62.99,73.71428571,1544,6022,96,5.16,0.07,1.00403559
1545,6021,96,LN,0,40,3.14,0.05,,Open,20,14,3,Yellow,73.44,62.8,1545,6021,96,3.14,0.05,1.262580505
1546,6029,79,UN,0,40,5.33,0.06,,Tree,20,15.8,8,Grey,75.41,88.83333333,1546,6029,79,5.33,0.06,1.148752053
1547,6018,95,LN,0,40,2.63,0.05,,Tree,18,15.4,5,Grey,72.55,52.6,1547,6018,95,2.63,0.05,1.133890567
1548,6002,92,LN,0,40,7.08,0.06,,Open,20,11.9,7,Yellow,48.79,118,1548,6002,92,7.08,0.06,0.986820819
1549,6122,85,UN,1,4,1.69,0.02,,Open,20,16,7,Yellow,84.19,84.5,1549,6122,85,1.69,0.02,1.266470195
1550,6019,96,LN,0,40,3.32,0.06,,Open,20,17.6,5,Yellow,86.13,55.33333333,1550,6019,96,3.32,0.06,1.177866923
1551,6010,93,LN,0,40,8.98,0.13,,Tree,17,14.7,7,Yellow-Grey,43.34,69.07692308,1551,6010,93,8.98,0.13,0.70962028
1552,6023,96,LN,0,40,4.58,0.09,,Tree,20,12,2,Yellow,56.33,50.88888889,1552,6023,96,4.58,0.09,1.129829609
1553,6131,,#N/A,#N/A,#N/A,0.76,0.00576,1% char 1.5% kaolin,N/A,,,,,,131.9444444,1553,6131,,0.76,0.00576,#DIV/0!
1554,6018,95,LN,0,40,2.62,0.05,,Tree,18,15.4,5,Grey,72.55,52.4,1554,6018,95,2.62,0.05,1.133890567
1555,6049,55,LR,1,25,1.76,0.06,,Open,20,17.1,6,Grey,96.49,29.33333333,1555,6049,55,1.76,0.06,1.358127811
1556,6012,93,LN,0,40,9,0.09,,Tree,20,16.1,7,Yellow,62.16,100,1556,6012,93,9,0.09,0.929264992
1557,5058,24,LR,2,4,2.31,0.07,,Tree,20,17.8,7,Yellow,88.31,33,1557,5058,24,2.31,0.07,1.194109983
1558,6017,95,LN,0,40,2.62,0.06,,Tree,20,18.1,10,Grey,83.34,43.66666667,1558,6017,95,2.62,0.06,1.108228636
1559,6050,55,LR,1,25,3.28,0.07,,Open,20,15,6,Grey,85.2,46.85714286,1559,6050,55,3.28,0.07,1.367107867
1560,6006,92,LN,0,40,2.22,0.04,,Tree,20,15,3,Yellow,82.1,55.5,1560,6006,92,2.22,0.04,1.317365679
1561,6100,83,UN,0,40,3.21,0.06,,Tree,20,16,5,Yellow,71.25,53.5,1561,6100,83,3.21,0.06,1.071813771
1562,6022,96,LN,0,40,5.12,0.08,,Tree,20,15.1,11,Yellow,62.99,64,1562,6022,96,5.12,0.08,1.00403559
1563,6050,55,LR,1,25,3.29,0.07,,Open,20,15,6,Grey,85.2,47,1563,6050,55,3.29,0.07,1.367107867
1564,5058,24,LR,2,4,2.32,0.07,,Tree,20,17.8,7,Yellow,88.31,33.14285714,1564,5058,24,2.32,0.07,1.194109983
1565,6017,95,LN,0,40,2.61,0.06,,Tree,20,18.1,10,Grey,83.34,43.5,1565,6017,95,2.61,0.06,1.108228636
1566,6002,92,LN,0,40,7.11,0.06,,Open,20,11.9,7,Yellow,48.79,118.5,1566,6002,92,7.11,0.06,0.986820819
1567,6006,92,LN,0,40,2.22,0.04,,Tree,20,15,3,Yellow,82.1,55.5,1567,6006,92,2.22,0.04,1.317365679
1568,6001,92,LN,0,40,2.46,0.04,,Open,20,17,4,Yellow,84.49,61.5,1568,6001,92,2.46,0.04,1.196219383
1569,6010,93,LN,0,40,9.05,0.13,,Tree,17,14.7,7,Yellow-Grey,43.34,69.61538462,1569,6010,93,9.05,0.13,0.70962028
1570,6019,96,LN,0,40,3.33,0.06,,Open,20,17.6,5,Yellow,86.13,55.5,1570,6019,96,3.33,0.06,1.177866923
1571,6036,80,UN,0,40,3.9,0.09,,Tree,20,16.8,8,Grey,82.23,43.33333333,1571,6036,80,3.9,0.09,1.178081823
1572,6025,79,UN,0,40,4.46,0.05,,Open,20,18.1,5,Grey,92.13,89.2,1572,6025,79,4.46,0.05,1.225115241
1573,6049,55,LR,1,25,1.77,0.06,,Open,20,17.1,6,Grey,96.49,29.5,1573,6049,55,1.77,0.06,1.358127811
1574,6029,79,UN,0,40,5.35,0.06,,Tree,20,15.8,8,Grey,75.41,89.16666667,1574,6029,79,5.35,0.06,1.148752053
1575,6020,96,LN,0,40,2.39,0.04,,Open,20,17.9,4,Yellow,91.78,59.75,1575,6020,96,2.39,0.04,1.23409749
1576,6005,92,LN,0,40,2.24,0.04,,Tree,20,16.9,4,Yellow-Grey,90.9,56,1576,6005,92,2.24,0.04,1.294588143
1577,6018,95,LN,0,40,2.63,0.05,,Tree,18,15.4,5,Grey,72.55,52.6,1577,6018,95,2.63,0.05,1.133890567
1578,6024,96,LN,0,40,4.57,0.08,,Tree,20,15.8,5,Yellow,74.56,57.125,1578,6024,96,4.57,0.08,1.135803647
1579,6100,83,UN,0,40,3.23,0.06,,Tree,20,16,5,Yellow,71.25,53.83333333,1579,6100,83,3.23,0.06,1.071813771
1580,6033,80,UN,0,40,4.01,0.06,,Open,20,14.8,4,Grey,73.58,66.83333333,1580,6033,80,4.01,0.06,1.196609688
1581,6032,80,UN,0,40,2.82,0.06,,Open,20,17.2,10,Grey,89.39,47,1581,6032,80,2.82,0.06,1.25087795
1582,6023,96,LN,0,40,4.51,0.09,,Tree,20,12,2,Yellow,56.33,50.11111111,1582,6023,96,4.51,0.09,1.129829609
1583,6048,81,UN,0,40,3.42,0.07,,Tree,20,17,8,Yellow-Grey,75.99,48.85714286,1583,6048,81,3.42,0.07,1.075875381
1584,6132,,#N/A,#N/A,#N/A,4,0.00962,5% char 1.5% kaolin,N/A,,,,,,415.8004158,1584,6132,,4,0.00962,#DIV/0!
1585,6012,93,LN,0,40,9.05,0.09,,Tree,20,16.1,7,Yellow,62.16,100.5555556,1585,6012,93,9.05,0.09,0.929264992
1586,6001,92,LN,0,40,2.49,0.04,,Open,20,17,4,Yellow,84.49,62.25,1586,6001,92,2.49,0.04,1.196219383
1587,6054,55,LR,1,25,3.25,0.05,,Tree,20,15.8,4,Grey,79.17,65,1587,6054,55,3.25,0.05,1.206029704
1588,6020,96,LN,0,40,2.35,0.04,,Open,20,17.9,4,Yellow,91.78,58.75,1588,6020,96,2.35,0.04,1.23409749
1589,6122,85,UN,1,4,1.7,0.02,,Open,20,16,7,Yellow,84.19,85,1589,6122,85,1.7,0.02,1.266470195
1590,3075,38,UF,3,4,1.89,0.03,,Open,20,15.7,7,Yellow,90.5,63,1590,3075,38,1.89,0.03,1.387405377
1591,31,107,UF,4,4,2.82,0.08,,Open,20,18.5,5,Yellow-Grey,93.86,35.25,1591,31,107,2.82,0.08,1.221133844
1592,6005,92,LN,0,40,2.25,0.04,,Tree,20,16.9,4,Yellow-Grey,90.9,56.25,1592,6005,92,2.25,0.04,1.294588143
1593,6049,55,LR,1,25,1.76,0.06,,Open,20,17.1,6,Grey,96.49,29.33333333,1593,6049,55,1.76,0.06,1.358127811
1594,6020,96,LN,0,40,2.33,0.04,,Open,20,17.9,4,Yellow,91.78,58.25,1594,6020,96,2.33,0.04,1.23409749
1595,6048,81,UN,0,40,3.42,0.07,,Tree,20,17,8,Yellow-Grey,75.99,48.85714286,1595,6048,81,3.42,0.07,1.075875381
1596,6029,79,UN,0,40,5.34,0.07,,Tree,20,15.8,8,Grey,75.41,76.28571429,1596,6029,79,5.34,0.07,1.148752053
1597,6043,81,UN,0,40,1.9,0.05,,Open,20,16.7,7,Yellow,93.28,38,1597,6043,81,1.9,0.05,1.344393837
1598,6031,80,UN,0,40,3.19,0.07,,Open,20,14.4,7,Grey,81.24,45.57142857,1598,6031,80,3.19,0.07,1.357881493
1599,6012,93,LN,0,40,9.05,0.09,,Tree,20,16.1,7,Yellow,62.16,100.5555556,1599,6012,93,9.05,0.09,0.929264992
1600,6014,95,LN,0,40,2.28,0.04,,Open,20,17.3,4,Grey,89.25,57,1600,6014,95,2.28,0.04,1.241699677
1601,6114,89,UN,1,4,1.29,0.05,,Tree,20,16.9,2,Yellow,85.19,25.8,1601,6114,89,1.29,0.05,1.21326693
1602,6131,,#N/A,#N/A,#N/A,0.75,0.00789,1% char 1.5% kaolin,N/A,,,,,,95.05703422,1602,6131,,0.75,0.00789,#DIV/0!
1603,6096,84,UN,0,40,3.23,0.05,,Tree,20,15.8,6,Yellow,79.79,64.6,1603,6096,84,3.23,0.05,1.215474424
1604,6092,84,UN,0,40,1.05,0.03,,Open,20,18.2,6,Yellow,97.48,35,1604,6092,84,1.05,0.03,1.289135533
1605,6091,84,UN,0,40,1.17,0.03,,Open,20,16.8,5,Yellow,94.64,39,1605,6091,84,1.17,0.03,1.35587576
1606,6053,55,LR,1,25,5.59,0.1,,Tree,20,15.2,11,Grey,70.14,55.9,1606,6053,55,5.59,0.1,1.110648464
